latitude,longitude,elevation_m,slope_percent,water_distance_km,nearest_water_name,nearest_water_type,urban_distance_km,soil_type,soil_ph,soil_organic_matter,soil_productivity,annual_precipitation_mm,sunshine_hours,average_temperature,climate_type,landcover_type,region_name,data_source,suitability_score,suitability_reasons,detailed_reasons,suitability_category
37.3199727,41.5448155,1063,11.7,0.7,Unnamed,lake,610.8,Stony-Sandy,5.8,0.7,low,380,2650,11.2,Continental,farmland,,OpenStreetMap,63,"very close to water, high slope, medium elevation, suitable precipitation, ideal sunshine, existing agricultural land",💧 Water: 0.7km (Unnamed) - EXCELLENT | 📐 Slope: 11.7% - MEDIUM | ⛰️ Elevation: 1063m - GOOD | 🏙️ Urban: 610.8km - FAR | 🌱 Soil: Stony-Sandy (pH:5.8) - LOW | 🌧️ Precipitation: 380mm - GOOD | ☀️ Sunshine: 2650 hours - EXCELLENT | 🏞️ Landcover: farmland - BONUS,MODERATELY PRODUCTIVE
37.3188272,41.5410241,911,5.6,0.4,Unnamed,lake,594.8,Loamy-Sandy,6.5,1.2,medium,380,2650,11.2,Continental,farmland,,OpenStreetMap,74,"very close to water, medium slope, medium elevation, medium soil, suitable precipitation, ideal sunshine, existing agricultural land",💧 Water: 0.4km (Unnamed) - EXCELLENT | 📐 Slope: 5.6% - GOOD | ⛰️ Elevation: 911m - GOOD | 🏙️ Urban: 594.8km - FAR | 🌱 Soil: Loamy-Sandy (pH:6.5) - MEDIUM | 🌧️ Precipitation: 380mm - GOOD | ☀️ Sunshine: 2650 hours - EXCELLENT | 🏞️ Landcover: farmland - BONUS,PRODUCTIVE
37.2791242,41.4774946,960,5.2,1.5,Unnamed,lake,565.3,Loamy-Sandy,6.5,1.2,medium,380,2650,11.2,Continental,farmland,,OpenStreetMap,74,"very close to water, medium slope, medium elevation, medium soil, suitable precipitation, ideal sunshine, existing agricultural land",💧 Water: 1.5km (Unnamed) - EXCELLENT | 📐 Slope: 5.2% - GOOD | ⛰️ Elevation: 960m - GOOD | 🏙️ Urban: 565.3km - FAR | 🌱 Soil: Loamy-Sandy (pH:6.5) - MEDIUM | 🌧️ Precipitation: 380mm - GOOD | ☀️ Sunshine: 2650 hours - EXCELLENT | 🏞️ Landcover: farmland - BONUS,PRODUCTIVE
37.3181798,41.5423908,908,5.1,0.6,Unnamed,lake,622.2,Loamy-Sandy,6.5,1.2,medium,380,2650,11.2,Continental,farmland,,OpenStreetMap,74,"very close to water, medium slope, medium elevation, medium soil, suitable precipitation, ideal sunshine, existing agricultural land",💧 Water: 0.6km (Unnamed) - EXCELLENT | 📐 Slope: 5.1% - GOOD | ⛰️ Elevation: 908m - GOOD | 🏙️ Urban: 622.2km - FAR | 🌱 Soil: Loamy-Sandy (pH:6.5) - MEDIUM | 🌧️ Precipitation: 380mm - GOOD | ☀️ Sunshine: 2650 hours - EXCELLENT | 🏞️ Landcover: farmland - BONUS,PRODUCTIVE
37.3203788,41.5417331,1063,11.5,0.4,Unnamed,lake,668.3,Stony-Sandy,5.8,0.7,low,380,2650,11.2,Continental,farmland,,OpenStreetMap,63,"very close to water, high slope, medium elevation, suitable precipitation, ideal sunshine, existing agricultural land",💧 Water: 0.4km (Unnamed) - EXCELLENT | 📐 Slope: 11.5% - MEDIUM | ⛰️ Elevation: 1063m - GOOD | 🏙️ Urban: 668.3km - FAR | 🌱 Soil: Stony-Sandy (pH:5.8) - LOW | 🌧️ Precipitation: 380mm - GOOD | ☀️ Sunshine: 2650 hours - EXCELLENT | 🏞️ Landcover: farmland - BONUS,MODERATELY PRODUCTIVE
37.3207072,41.5462528,966,7.6,0.8,Unnamed,lake,763.6,Loamy-Sandy,6.5,1.2,medium,380,2650,11.2,Continental,orchard,,OpenStreetMap,74,"very close to water, medium slope, medium elevation, medium soil, suitable precipitation, ideal sunshine, existing agricultural land",💧 Water: 0.8km (Unnamed) - EXCELLENT | 📐 Slope: 7.6% - GOOD | ⛰️ Elevation: 966m - GOOD | 🏙️ Urban: 763.6km - FAR | 🌱 Soil: Loamy-Sandy (pH:6.5) - MEDIUM | 🌧️ Precipitation: 380mm - GOOD | ☀️ Sunshine: 2650 hours - EXCELLENT | 🏞️ Landcover: orchard - BONUS,PRODUCTIVE
37.281093,41.4767326,830,9.9,1.8,Unnamed,lake,799.7,Loamy-Sandy,6.5,1.2,medium,380,2650,11.2,Continental,farmland,,OpenStreetMap,74,"very close to water, medium slope, medium elevation, medium soil, suitable precipitation, ideal sunshine, existing agricultural land",💧 Water: 1.8km (Unnamed) - EXCELLENT | 📐 Slope: 9.9% - GOOD | ⛰️ Elevation: 830m - GOOD | 🏙️ Urban: 799.7km - FAR | 🌱 Soil: Loamy-Sandy (pH:6.5) - MEDIUM | 🌧️ Precipitation: 380mm - GOOD | ☀️ Sunshine: 2650 hours - EXCELLENT | 🏞️ Landcover: farmland - BONUS,PRODUCTIVE
37.2779583,41.4872759,1000,13.5,1.0,Unnamed,lake,803.1,Stony-Sandy,5.8,0.7,low,380,2650,11.2,Continental,farmland,,OpenStreetMap,63,"very close to water, high slope, medium elevation, suitable precipitation, ideal sunshine, existing agricultural land",💧 Water: 1.0km (Unnamed) - EXCELLENT | 📐 Slope: 13.5% - MEDIUM | ⛰️ Elevation: 1000m - GOOD | 🏙️ Urban: 803.1km - FAR | 🌱 Soil: Stony-Sandy (pH:5.8) - LOW | 🌧️ Precipitation: 380mm - GOOD | ☀️ Sunshine: 2650 hours - EXCELLENT | 🏞️ Landcover: farmland - BONUS,MODERATELY PRODUCTIVE
37.2787588,41.477665,812,5.7,1.5,Unnamed,lake,639.9,Loamy-Sandy,6.5,1.2,medium,380,2650,11.2,Continental,farmland,,OpenStreetMap,74,"very close to water, medium slope, medium elevation, medium soil, suitable precipitation, ideal sunshine, existing agricultural land",💧 Water: 1.5km (Unnamed) - EXCELLENT | 📐 Slope: 5.7% - GOOD | ⛰️ Elevation: 812m - GOOD | 🏙️ Urban: 639.9km - FAR | 🌱 Soil: Loamy-Sandy (pH:6.5) - MEDIUM | 🌧️ Precipitation: 380mm - GOOD | ☀️ Sunshine: 2650 hours - EXCELLENT | 🏞️ Landcover: farmland - BONUS,PRODUCTIVE
37.321224,41.5441579,910,9.0,0.6,Unnamed,lake,737.3,Loamy-Sandy,6.5,1.2,medium,380,2650,11.2,Continental,farmland,,OpenStreetMap,74,"very close to water, medium slope, medium elevation, medium soil, suitable precipitation, ideal sunshine, existing agricultural land",💧 Water: 0.6km (Unnamed) - EXCELLENT | 📐 Slope: 9.0% - GOOD | ⛰️ Elevation: 910m - GOOD | 🏙️ Urban: 737.3km - FAR | 🌱 Soil: Loamy-Sandy (pH:6.5) - MEDIUM | 🌧️ Precipitation: 380mm - GOOD | ☀️ Sunshine: 2650 hours - EXCELLENT | 🏞️ Landcover: farmland - BONUS,PRODUCTIVE
37.2766292,41.4780964,1109,9.9,1.3,Unnamed,lake,811.5,Stony-Sandy,5.8,0.7,low,380,2650,11.2,Continental,farmland,,OpenStreetMap,70,"very close to water, medium slope, medium elevation, suitable precipitation, ideal sunshine, existing agricultural land",💧 Water: 1.3km (Unnamed) - EXCELLENT | 📐 Slope: 9.9% - GOOD | ⛰️ Elevation: 1109m - GOOD | 🏙️ Urban: 811.5km - FAR | 🌱 Soil: Stony-Sandy (pH:5.8) - LOW | 🌧️ Precipitation: 380mm - GOOD | ☀️ Sunshine: 2650 hours - EXCELLENT | 🏞️ Landcover: farmland - BONUS,PRODUCTIVE
37.3149869,41.5494707,949,8.7,1.4,Unnamed,lake,631.0,Loamy-Sandy,6.5,1.2,medium,380,2650,11.2,Continental,farmland,,OpenStreetMap,74,"very close to water, medium slope, medium elevation, medium soil, suitable precipitation, ideal sunshine, existing agricultural land",💧 Water: 1.4km (Unnamed) - EXCELLENT | 📐 Slope: 8.7% - GOOD | ⛰️ Elevation: 949m - GOOD | 🏙️ Urban: 631.0km - FAR | 🌱 Soil: Loamy-Sandy (pH:6.5) - MEDIUM | 🌧️ Precipitation: 380mm - GOOD | ☀️ Sunshine: 2650 hours - EXCELLENT | 🏞️ Landcover: farmland - BONUS,PRODUCTIVE
37.2796786,41.4771463,1182,8.2,1.6,Unnamed,lake,770.0,Stony-Sandy,5.8,0.7,low,380,2650,11.2,Continental,farmland,,OpenStreetMap,70,"very close to water, medium slope, medium elevation, suitable precipitation, ideal sunshine, existing agricultural land",💧 Water: 1.6km (Unnamed) - EXCELLENT | 📐 Slope: 8.2% - GOOD | ⛰️ Elevation: 1182m - GOOD | 🏙️ Urban: 770.0km - FAR | 🌱 Soil: Stony-Sandy (pH:5.8) - LOW | 🌧️ Precipitation: 380mm - GOOD | ☀️ Sunshine: 2650 hours - EXCELLENT | 🏞️ Landcover: farmland - BONUS,PRODUCTIVE
37.3173474,41.5447266,940,5.1,0.8,Unnamed,lake,590.1,Loamy-Sandy,6.5,1.2,medium,380,2650,11.2,Continental,farmland,,OpenStreetMap,74,"very close to water, medium slope, medium elevation, medium soil, suitable precipitation, ideal sunshine, existing agricultural land",💧 Water: 0.8km (Unnamed) - EXCELLENT | 📐 Slope: 5.1% - GOOD | ⛰️ Elevation: 940m - GOOD | 🏙️ Urban: 590.1km - FAR | 🌱 Soil: Loamy-Sandy (pH:6.5) - MEDIUM | 🌧️ Precipitation: 380mm - GOOD | ☀️ Sunshine: 2650 hours - EXCELLENT | 🏞️ Landcover: farmland - BONUS,PRODUCTIVE
37.3208593,41.5443935,933,6.1,0.6,Unnamed,lake,608.3,Loamy-Sandy,6.5,1.2,medium,380,2650,11.2,Continental,farmland,,OpenStreetMap,74,"very close to water, medium slope, medium elevation, medium soil, suitable precipitation, ideal sunshine, existing agricultural land",💧 Water: 0.6km (Unnamed) - EXCELLENT | 📐 Slope: 6.1% - GOOD | ⛰️ Elevation: 933m - GOOD | 🏙️ Urban: 608.3km - FAR | 🌱 Soil: Loamy-Sandy (pH:6.5) - MEDIUM | 🌧️ Precipitation: 380mm - GOOD | ☀️ Sunshine: 2650 hours - EXCELLENT | 🏞️ Landcover: farmland - BONUS,PRODUCTIVE
37.2761311,41.4780115,1081,11.1,1.3,Unnamed,lake,720.8,Stony-Sandy,5.8,0.7,low,380,2650,11.2,Continental,farmland,,OpenStreetMap,63,"very close to water, high slope, medium elevation, suitable precipitation, ideal sunshine, existing agricultural land",💧 Water: 1.3km (Unnamed) - EXCELLENT | 📐 Slope: 11.1% - MEDIUM | ⛰️ Elevation: 1081m - GOOD | 🏙️ Urban: 720.8km - FAR | 🌱 Soil: Stony-Sandy (pH:5.8) - LOW | 🌧️ Precipitation: 380mm - GOOD | ☀️ Sunshine: 2650 hours - EXCELLENT | 🏞️ Landcover: farmland - BONUS,MODERATELY PRODUCTIVE
37.3214033,41.5439223,1109,10.7,0.6,Unnamed,lake,806.4,Stony-Sandy,5.8,0.7,low,380,2650,11.2,Continental,farmland,,OpenStreetMap,63,"very close to water, high slope, medium elevation, suitable precipitation, ideal sunshine, existing agricultural land",💧 Water: 0.6km (Unnamed) - EXCELLENT | 📐 Slope: 10.7% - MEDIUM | ⛰️ Elevation: 1109m - GOOD | 🏙️ Urban: 806.4km - FAR | 🌱 Soil: Stony-Sandy (pH:5.8) - LOW | 🌧️ Precipitation: 380mm - GOOD | ☀️ Sunshine: 2650 hours - EXCELLENT | 🏞️ Landcover: farmland - BONUS,MODERATELY PRODUCTIVE
37.3217164,41.547479,1107,14.9,1.0,Unnamed,lake,816.9,Stony-Sandy,5.8,0.7,low,380,2650,11.2,Continental,farmland,,OpenStreetMap,63,"very close to water, high slope, medium elevation, suitable precipitation, ideal sunshine, existing agricultural land",💧 Water: 1.0km (Unnamed) - EXCELLENT | 📐 Slope: 14.9% - MEDIUM | ⛰️ Elevation: 1107m - GOOD | 🏙️ Urban: 816.9km - FAR | 🌱 Soil: Stony-Sandy (pH:5.8) - LOW | 🌧️ Precipitation: 380mm - GOOD | ☀️ Sunshine: 2650 hours - EXCELLENT | 🏞️ Landcover: farmland - BONUS,MODERATELY PRODUCTIVE
